Date,Symbol,Order,Shares
2008-02-25,NU,BUY,100
2008-02-26,GOOG,BUY,100
2008-02-27,CMS,BUY,100
2008-02-27,ADSK,BUY,100
2008-02-27,HSP,BUY,100
2008-03-03,NU,SELL,100
2008-03-04,GOOG,SELL,100
2008-03-05,HSP,SELL,100
2008-03-05,ADSK,SELL,100
2008-03-05,CMS,SELL,100
2008-04-01,TDC,BUY,100
2008-04-07,BMC,BUY,100
2008-04-08,HAR,BUY,100
2008-04-08,TDC,SELL,100
2008-04-08,CTL,BUY,100
2008-04-08,FII,BUY,100
2008-04-14,BMC,SELL,100
2008-04-15,HAR,SELL,100
2008-04-15,FII,SELL,100
2008-04-15,CTL,SELL,100
2008-04-16,MNST,BUY,100
2008-04-16,SWY,BUY,100
2008-04-16,STX,BUY,100
2008-04-17,PG,BUY,100
2008-04-17,BDX,BUY,100
2008-04-18,ISRG,BUY,100
2008-04-21,LLY,BUY,100
2008-04-21,PEP,BUY,100
2008-04-21,SHLD,BUY,100
2008-04-22,PFE,BUY,100
2008-04-22,WIN,BUY,100
2008-04-22,AGN,BUY,100
2008-04-22,XRX,BUY,100
2008-04-22,LUV,BUY,100
2008-04-22,CL,BUY,100
2008-04-22,CI,BUY,100
2008-04-22,MAT,BUY,100
2008-04-22,NFLX,BUY,100
2008-04-23,STX,SELL,100
2008-04-23,MNST,SELL,100
2008-04-23,SWY,SELL,100
2008-04-24,YHOO,BUY,100
2008-04-24,CCE,BUY,100
2008-04-24,SBUX,BUY,100
2008-04-24,CMG,BUY,100
2008-04-24,WHR,BUY,100
2008-04-24,NWL,BUY,100
2008-04-24,PG,SELL,100
2008-04-24,BDX,SELL,100
2008-04-25,ISRG,SELL,100
2008-04-25,KO,BUY,100
2008-04-28,KFT,BUY,100
2008-04-28,NWL,BUY,100
2008-04-28,MMM,BUY,100
2008-04-28,PEP,SELL,100
2008-04-28,SUN,BUY,100
2008-04-28,LLY,SELL,100
2008-04-28,SHLD,SELL,100
2008-04-29,MRK,BUY,100
2008-04-29,MO,BUY,100
2008-04-29,MON,BUY,100
2008-04-29,PNW,BUY,100
2008-04-29,MAT,SELL,100
2008-04-29,CI,SELL,100
2008-04-29,WIN,SELL,100
2008-04-29,CL,SELL,100
2008-04-29,BIIB,BUY,100
2008-04-29,SIAL,BUY,100
2008-04-29,XRX,SELL,100
2008-04-29,LUV,SELL,100
2008-04-29,NFLX,SELL,100
2008-04-29,RDC,BUY,100
2008-04-29,AGN,SELL,100
2008-04-29,PFE,SELL,100
2008-05-01,DNR,BUY,100
2008-05-01,SBUX,SELL,100
2008-05-01,OI,BUY,100
